utterance_id	speaker_id	target_id	reply_to_id	utterance
208	P00008	P00001	207	Sr. Presidente, durante os 2 minutos de interrupção que V. Ex.ª, a pedido do PS, concedeu, tivemos oportunidade de trocar opiniões, designadamente com a bancada do PSD - não tivemos ocasião de falar com as outras bancadas - e parece que havia acordo para que pudéssemos deixar hoje resolvido o problema dos pedidos de urgência, evitando assim o agendamento desse assunto para outras reuniões. Assim, houve acordo no sentido de se prolongar a primeira parte. Só que não tivemos oportunidade de consultar as outras bancadas.
209	P00001	P00002		Com certeza, Sr. Deputado. Então, depois do intervalo discutiremos o assunto. Está suspensa a sessão. Eram 17 horas e 35 minutos. Após o intervalo, assumiu a presidência o Sr. Presidente, Fernando Amaral.
210	P00001	P00002		Srs. Deputados, está reaberta a sessão. Eram 18 horas e 45 minutos.
211	P00001	P00030	206	Para uma declaração de voto, tem a palavra o Sr. Deputado Lopes Cardoso.
212	P00030	P00001	211	Prescindo, Sr. Presidente.
213	P00001	P00444		Para uma declaração de voto, tem a palavra o Sr. Deputado Gaspar Martins.
214	P00444	P00002		Sr. Presidente, Srs. Deputados: Votámos a fixação de um prazo de 5 dias para a comissão especializada emitir parecer a fim de que se destacasse, sem sofismas, a vontade política dos partidos da maioria de resolver com a celeridade necessária um problema que se arrasta há 5 anos e que teve o voto unânime da Assembleia Regional da Madeira. Assumem por isso particular gravidade as violações do Regimento levadas a cabo pelo PS e por deputados do PSD, cujas consequências procurámos corrigir com a apresentação do nosso requerimento. A sua rejeição è uma nova violência a somar-se às que, por razões misteriosas, foram já aqui praticadas.
215	P00105	P00444	214	Sem dúvida!
216	P00444	P00002		Foi esta a terceira vez que o assunto foi submetido à Assembleia e adiado, apesar da sua evidente relevância e urgência. Ora, isto è significativo de toda uma atitude! Do mesmo modo ficou claro o desinteresse da maioria pelos problemas do ambiente e do património natural. Não será por acaso que nunca foi agendado o projecto da lei-quadro do ambiente! O que assistimos aqui hoje è paradigmático. Desde as acrobacias do PS ao esoterismo do PSD, tudo serviu para, no concreto, negar o que se afirma como intenções!
217	P00010	P00444	216	Muito bem!
218	P00444	P00002		Também as ilhas Selvagens são paradigmáticas quanto ao desprezo que sempre sofreram. No conjunto das suas ilhotas nidifica - e, ao que se crê, em mais nenhum outro local do mundo - uma pequena ave marítima semelhante à gaivota conhecida por «cagarra». Estimam-se em 60 000 o número das aves que integram a colónia das ilhas Selvagens, mas elas estão sujeitas a serem dizimadas aos milhares, pois indivíduos provenientes das ilhas Canárias capturam todos os anos milhares de ovos. Recentemente foram colocados em permanência 2 homens de guarda e regularmente a corveta da Capitania do Porto do Funchal faz o patrulhamento e fiscalização das ilhas Selvagens. Contudo, isto è insuficiente e os meios a destacar para esta missão devem ser ponderados convenientemente se queremos desfrutar da beleza e do espectáculo descrito por Raul Brandão nas suas páginas de As Ilhas Desconhecidas. O decurso dos acontecimentos na sessão de hoje teve, porém, o mérito de deixar a claro as manobras dilatórias e de arrastamento da maioria para evitar o tratamento de assuntos de relevância para o País, privilegiando as suas iniciativas impopulares, como as da actualização das rendas de casa e as remunerações dos cargos públicos.
219	P00010	P00444	218	Muito bem!
220	P00001	P00030	212	Srs. Deputados, a Mesa desconhece se houve ou não consenso entre todas as bancadas para que se prolongue a primeira parte da ordem do dia, que engloba a discussão das propostas de lei n.ºs 92/III e 93/III. Não há qualquer objecção a que assim se proceda? Se não há objecções, vamos então prosseguir com a mesma ordem de trabalhos. Está em discussão a proposta de lei n.º 93/III - organização judiciária na Região Autónoma da Madeira. Para uma interpelação à Mesa, tem a palavra o Sr. Deputado Lopes Cardoso.
221	P00030	P00001	220	Sr. Presidente, se bem entendi, V. Ex.ª anunciou a passagem à discussão do pedido de urgência da proposta de lei referente à organização judiciária na Madeira. Foi isto, Sr. Presidente?
222	P00001	P00030	221	Sr. Deputado, anunciei o segundo ponto da primeira parte da ordem do dia, a proposta de lei n.º 93/III - organização judiciária na Região Autónoma da Madeira, que está subordinada ao princípio de apreciação do processo de urgência solicitado pela Assembleia Regional da Madeira.
223	P00030	P00001	222	Portanto, Sr. Presidente, vamos discutir e votar essa proposta de lei. Sendo assim, interpelava a mesa no sentido de saber se, porventura, deu entrada na Mesa algum requerimento, apresentado pela maioria, solicitando a sua baixa prévia à comissão competente para que se defina o processo de urgência nessa matéria, como aconteceu há pouco relativamente à proposta de lei n.º 92/III. E isto, Sr. Presidente, porque, se tal não existe, tenho razões para concluir que, de facto, o Regimento deixou de existir nesta Assembleia e vivemos num sistema de soluções ad hoc ditadas pela vontade da maioria, que ainda há menos de meia hora considerava que regimentalmente, na ausência de especificação por parte da Assembleia Regional da Madeira de qual o processo de urgência, se tornava imperioso a baixa à Comissão da proposta de lei para que esta definisse esse processo. Agora, nas mesmas circunstâncias, parece já não ser um imperativo determinado pelo Regimento que tal baixa tenha lugar! Isto è, de facto, estamos face a um Regimento que não è aquele che foi publicado e de que nos temos servido até agora, mas um Regimento feito pela maioria, ao sabor das suas conveniências. Esta è a primeira conclusão a tirar dessa ausência de requerimento. A segunda conclusão, è que não há dúvida nenhuma neste momento de que, por detrás das razões pretensamente processuais que justificaram o atropelo de tudo quanto o Regimento especifica na votação che teve lugar há pouco, havia outras razões, muito mais profundas, que a maioria não clarificou, tornando lícito que sobre elas se faça toda a espécie de processos de intenção.
224	P00001	P00008	208	Sr. Deputado, em relação à primeira pergunta, informo V. Ex.ª que não deu entrada na Mesa nenhum requerimento no sentido que referiu. Para uma interpelação à Mesa, tem a palavra, o Sr. Deputado Jorge Lemos.
225	P00008	P00001	224	Sr. Presidente, a minha interpelação carece de sentido por já estar esclarecido pelo anúncio que V. Ex.ª acabou de fazer.
226	P00001	P00085		Para uma interpelação à Mesa, tem a palavra, o Sr. Deputado Cardoso Ferreira.
227	P00085	P00001	226	Sr. Presidente, o facto de não ter dado entrada na Mesa um requerimento no sentido daquele que foi apresentado quanto à proposta de lei anterior deve-se, seguramente, a um lapso que assumimos como partido da maioria. É que, de facto, não pode haver - e julgo que o Sr. Deputado Lopes Cardoso terá tirado algumas conclusões precipitadas - diferença de tratamento. A questão não é a das matérias subjacentes à questão da urgência, mas sim, outra diferente, como o Sr. Deputado José Luís Nunes fundamentou há pouco. Portanto, parece-me que se o Sr. Presidente nos conceder 2 ou 3 minutos estaremos em condições de apresentar um requerimento que possibilite a baixa à comissão competente desta proposta de lei, nas mesmas circunstâncias que se verificaram há pouco. Julgo que aqui o Sr. Deputado Lopes Cardoso ter-se-á precipitado. Houve um lapso da nossa parte, mas não pode, de forma alguma, tirar conclusões - que não lhe assistem - pelo facto de não termos apresentado o requerimento.
228	P00001	P00138	192	Sr. Deputado Cardoso Ferreira, deduzo das palavras de V. Ex.ª que pretende formular um requerimento para que baixe à comissão competente a proposta de lei n.º 93/III, no que respeita à apreciação da urgência solicitada pelos órgãos regionais da Madeira. Para uma interpelação à Mesa, tem a palavra o Sr. Deputado José Magalhães.
229	P00138	P00001	228	"Sr. Presidente, é para me certificar de que da parte da minha bancada estamos a compreender exactamente tudo o que se está a passar aqui, porque fiquei com sérias dúvidas depois destas duas intervenções. Creio que o princípio de que «partido um braço se deve partir o outro» não é princípio em sítio nenhum e, portanto, também não o pode ser em matéria regimental. Aquilo que foi feito há bocado - contra uma deliberação da Mesa - foi aprovar um requerimento de baixa à Comissão, que em sítio nenhum do Regimento se autoriza, para impedir que um processo de urgência fosse accionado como a Constituição manda e o Regimento regulamenta. Foi isto que foi aprovado, depois de uma larga batalha regimental em que ficou demonstrado que havia razões secretas, que não foram reveladas no Plenário da Assembleia da República, não se explicando porque é que a questão das ilhas Selvagens não pode ser discutida pelo Plenário desta Assembleia, nem sequer em sede de urgência. Porém, não me tinha apercebido que além desse segredo de Estado terrível que paira algures sobre o Atlântico em relação às ilhas Selvagens, a organização judiciária da Região Autónoma da Madeira também constitui um engulho que porventura justifica, se apercebi bem tudo o que ouvi, que em vez de cumprirmos a Constituição e o Regimento, devamos agora, aqui, fazer a mesma entorse que ali foi feita, e mal! Porque neste caso, Sr. Presidente, devo dizer a V. Ex."" que teríamos que recomeçar tudo e, portanto, a entorse seria seguida do necessário recurso e este seria seguido por tudo aquilo que o Regimento prescreve, o que certamente não passaria em doce e em suave, tal è a violência institucional que isto significa! Portanto, Sr. Presidente, apelava no sentido de se clarificar rapidamente se aquilo que parecia ser um lapso - e que o Sr. Deputado Lopes Cardoso com algum humor detectou para depois tirar uma lição política, que é legítima - não será mesmo um lapso. Isto è, será que o Sr. Deputado Cardoso Ferreira não terá cometido um verdadeiro lapso, agora, ao tentar corrigir um lapso, que julgou ter cometido mas que, na verdade, não terá existido? Se isto não è assim, então, há aqui alguma coisa de muito misterioso e V. Ex.ª poderá ser precioso para esclarecer isto."
230	P00001	P00123	201	Para uma interpelação à Mesa, tem a palavra o Sr. Deputado José Luís Nunes.
231	P00123	P00001	230	Não, Sr. Presidente. Não vou interpelar a Mesa sobre esta matéria.
232	P00001	P00123	231	Então, pede a palavra para que efeito, Sr. Deputado?
233	P00123	P00001	232	Sr. Presidente, diz o Regimento que a interpelação à Mesa se resume a uma pergunta sobre a forma como estão a decorrer os debates.
234	P00001	P00123	233	Assim deveria ser sempre, Sr. Deputado!
235	P00123	P00001	234	Aquilo que ouvi foi um discurso do Sr. Deputado José Magalhães anunciando a apresentação de um requerimento.
236	P00001	P00123	235	Não, Sr. Deputado. V. Ex.ª certamente caiu nalgum equívoco por causa da conversa que teve com o Sr. Deputado Cardoso Ferreira. Quem fez o anúncio do requerimento foi o Sr. Deputado Cardoso Ferreira, que me pediu 2 ou 3 minutos para apresentar à Mesa um requerimento. O Sr. Deputado José Magalhães, em função desse pedido, fez uma alegação, que me pareceu apropriada.
237	P00123	P00001	236	Exacto, Sr. Presidente. O Sr. Deputado José Magalhães fez uma alegação, que não foi uma interpelação à Mesa. Foi uma alegação da fundamentação de uma declaração de voto ou qualquer outra coisa. Mas, Sr. Deputado José Magalhães terá, numa outra altura, oportunidade de discutir estes assuntos aqui na Assembleia da República. Porém, Sr. Presidente, aquilo que pretendo é, no exercício dos direitos regimentais que nos competem, solicitar a suspensão dos trabalhos por meia hora.
238	P00001	P00002		Porque é regimental, e concedido. Srs. Deputados, está suspensa a sessão. Eram 18 horas e 55 minutos.
239	P00001	P00002		Srs. Deputados, está reaberta a sessão. Eram 19 horas e 30 minutos.
240	P00001	P00123	237	Informo os Srs. Deputados que deu entrada na Mesa um requerimento do seguinte teor: Nos termos regimentais, os deputados abaixo assinados requerem a baixa à Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias da proposta de lei n.º 93/III, apreciação do processo de urgência, a fim de a mesma Comissão poder apreciar qual o condicionalismo do processo de urgência que será adoptado. Fixa-se um prazo de 30 dias para a Comissão se pronunciar. A Mesa, nos termos e segundo a orientação que foi definida em relação a um requerimento semelhante que foi apresentado anteriormente, entendeu indeferir o presente requerimento, sujeitando-se, porém, como é regimental, ao correspondente recurso. Tem a palavra o Sr. Deputado José Luís Nunes.
241	P00123	P00001	240	Sr. Presidente, V. Ex.ª declarou que a Mesa optava pela não admissão do requerimento e invocou, em relação a esse facto, a jurisprudência anterior da Mesa. Simplesmente, permitia-me sublinhar em relação à decisão da Mesa o seguinte: já foi interposto recurso de uma decisão da Mesa e a Assembleia formou uma jurisprudência diferente. Ora, compete à Mesa a interpretação das lacunas do Regimento com recurso para o Plenário relativamente a essas interpretações e o Plenário já se manifestou nesta mesma sessão em relação a um caso semelhante a este que agora tratamos. Assim, poderia acontecer que a jurisprudência do Plenário prevalecesse sobre a jurisprudência da Mesa. Se fosse este o entendimento da Mesa, o assunto morreria por aqui; porém, se a Mesa mantém essa jurisprudência - e era este o fundamento da minha interpelação -, então, e nesse caso, interporíamos recurso da sua decisão.
242	P00001	P00123	241	Sr. Deputado, a Mesa, realmente, pronunciou-se neste sentido e, portanto, agradecia que V. Ex.ª interpusesse recurso; se é a sua intenção, tomá-la-emos como tal.
243	P00123	P00001	242	Na base de idêntico somatório de fundamentos e de razões - que se encontram transcritas no Diário da Assembleia da República, dispensando--me, portanto, de as mencionar neste momento - e em face de um caso semelhante, há pouco interpusemos recurso da decisão da Mesa, pelo que agora também o faremos.
244	P00001	P00008	225	Sr. Deputado, aceitamos a interposição do recurso. Tem a palavra o Sr. Deputado Jorge Lemos.
245	P00008	P00002		Sr. Presidente, pedia a palavra para intervir no debate do recurso interposto pelo Partido Socialista à decisão da Mesa. Sr. Presidente, Srs. Deputados: Aquilo a que temos estado a assistir durante esta tarde na Assembleia da República está a tocar as raias do absurdo! Chega-se a invocar que a Mesa deveria pautar as atitudes que toma não em virtude do Regimento mas sim em função de abusos anti-regimentais, os quais deveriam constituir a jurisprudência a seguir e não o Regimento em vigor na Assembleia da República! Creio, Sr. Presidente, que o que importa, para que não restem dúvidas sobre esta matéria, è que fique claro que a decisão da Mesa, ao não aceitar o requerimento do Partido Socialista, tem toda a legitimidade. De facto, Sr. Presidente, è um direito constitucional das assembleias regionais das regiões autónomas solicitarem que a Assembleia da República adopte processo de urgência para a apreciação de diplomas que a ela tenham submetido. Este preceito constitucional está acolhido no Regimento da Assembleia da República, que no capítulo VII, relativo ao processo de urgência, diz que agendada a questão da concessão de urgência, a Assembleia discute, numa primeira fase, se pretende ou não conceder urgência a essa iniciativa. E, uma vez tomada essa decisão, define as condições que o processo de urgência deve prosseguir, ou seja, a Assembleia da República pode determinar a adopção de todos os mecanismos previstos no artigo 245.º, dispensando o exame em
246	P00010	P00008	245	Muito bem!
247	P00001	P00002		Srs. Deputados, não havendo mais inscrições, vamos votar o recurso interposto, pela bancada do PS, da decisão da Mesa. Submetido à votação, foi aprovado, com votos a favor do PS e do PSD, com votos contra do PCP, do CDS, do MDP/CDE, da UEDS, dos Srs. Deputados Jardim Ramos, Pedro Paulo e Virgílio Pereira (PSD) e do Sr. Deputado Independente António Gonzalez e com abstenções dos Srs. Deputados Mota Torres e Avelino Marques (PS).
248	P00001	P00138	229	Para uma declaração de voto, tem a palavra o Sr. Deputado José Magalhães.
249	P00138	P00002		Sr. Presidente, Srs. Deputados: Opusemo-nos, pela forma própria, ao recurso - assim chamado - apresentado pelas bancadas do PS e do PSD porque nos parece que fazer duas violações do Regimento na mesma tarde é demais - mesmo que um violador consumado - e sobretudo numa matéria desta importância, o que é absolutamente inaceitável! Está absolutamente fora de questão que as regiões autónomas têm os poderes que têm e ninguém ousa negar aquilo que a Constituição nesta matéria claramente determina. Na primeira violação do Regimento aqui imposta contra a Mesa, contra o Regimento e sem nenhum argumento - que argumentos não há e as razões que ouvimos razões não o são, pois são débeis, tíbias e verdadeiramente uma forma ínvia de se defender o que não è defensável -, no primeiro recurso, foi invocado um mistério: haveria uma razão de Estado algures no Atlântico, quiçá nas ilhas Canárias, havia alguém que não poderia ser perturbado, incomodado, atacado ou tocado pela aprovação de uma urgência, Srs. Deputados, de uma simples urgência! Não se tratava de uma aprovação na generalidade - que como sabem nem sequer é uma aprovação final, tratava-se só de uma urgência! E isso que está algures no meio do Atlântico impediu que a Assembleia da República cumprisse o Regimento e levou a coligação governamental - e, em peripécias burlescas, o próprio PSD, que é o partido do Governo da Região - a fazer o que aqui fez, que é burlesco em larga medida e bastante indigno. Agora, em relação à organização judiciária, a região autónoma vem fazer um alerta para a sua situação, vem pedir mais tribunais o que poderemos discutir e aquilo que nos e perguntado é só se damos urgência ou não, nem sequer é se estamos de acordo com a proposta pois podemos discordar todos dela; respondem--nos também que a matéria não pode sequer ser objecto de urgência, que o Regimento deve ser espezinhado outra vez e o Sr. Deputado José Luís Nunes até faz a flor de aqui declarar que, violado o Regimento uma vez, ele pode ser violado uma segunda vez com legitimidade perfeita porque, arrombada a porta, por ela se entra livremente! Isso serão conceitos próprios para outro sítio que não a Assembleia da República e menos ainda para um Estado de direito democrático! Em matéria de comportamento parlamentar aquilo que hoje aqui acaba de suceder è uma violência institucional da maior gravidade, mas è também sinal do desarrimo e do desconchavamento em que se encontra a coligação governamental. Mas, Sr. Presidente e Srs. Deputados, a violação dos direitos das regiões autónomas que aqui hoje foi praticada, a violação qualificada do Regimento que aqui foi praticada, foi-o sem nenhuma desculpa, sem nenhum fundamento, sem nenhuma razão de Estado de necessidade, salvo se VV. Ex.as estão perturbados e em estado de necessidade por razões da crise de política geral em que estão mergulhados. Ora isto è grave por que anuncia também a intenção de espezinhamento qualificado e agravado do Regimento ou das leis de funcionamento da Assembleia da República, mesmo das péssimas leis que aí vêm. Porém, desta bancada devemos dizer-vos que há e continuam a haver meios para dar respostas democráticas e adequadas a espezinhamentos tão bossais como aqueles que acabam aqui de infligir.
250	P00001	P00442	141	Tem a palavra o Sr. Deputado Hasse Ferreira.
251	P00442	P00001	250	Sr. Presidente, Srs. Deputados: Em termos de declaração de voto e depois da argumentação e das intervenções que sobre este assunto fez o meu camará Lopes Cardoso, não haverá nada mais a dizer. Porém, sob a forma de interpelação à Mesa, quero solicitar, para nossa própria informação e para que conste das actas da Assembleia da República, que se siga a praxe, já há pouco reclamada pela Sr.ª Deputada Cecília Catarino, de identificar os Srs. Deputados que não votam de acordo com as respectivas bancadas. Isto para nós próprios termos efectivo conhecimento, pois, caso contrário, não existirá nenhum documento onde se teste a forma de votação desses Srs. Deputados que terão eventualmente responsabilidades políticas particulares.
252	P00001	P00445		Sr. Deputado, isso teria sido feito se porventura tivesse sido requerido por cada um dos interessados. Tem a palavra o Sr. Deputado António Gonzalez.
253	P00445	P00001	252	Sr. Presidente, desejo apenas anunciar à Mesa que vou apresentar uma
254	P00001	P00446		Para uma interpelação à Mesa, tem a palavra o Sr. Deputado Virgílio Pereira.
255	P00446	P00001	254	Sr. Presidente, perante a gravidade dos factos que estão a desenrolar-se esta tarde nesta Assembleia, peço, mais uma vez e na sequência do pedido feito há pouco pela minha colega, que seja expresso em acta que os deputados do PSD eleitos pelo círculo da Madeira votaram contra na votação há pouco realizada.
256	P00001	P00002		Ficou registado, Sr. Deputado. Srs. Deputados, como há pouco anunciei deu entrada na Mesa um requerimento, apresentado pelo PS e pelo PSD, que vai ser lido de novo. Foi lido. É o seguinte: Nos termos regimentais, os deputados abaixo assinados requerem a baixa à Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias, da proposta de lei n.º 93/III, apreciação do processo de urgência, a fim da mesma Comissão poder apreciar qual o condicionalismo do processo de urgência que será adoptado. Fixa-se um prazo de 30 dias para a Comissão se pronunciar.
257	P00001	P00008	245	Para uma interpelação à Mesa, tem a palavra o Sr. Deputado Jorge Lemos.
258	P00008	P00001	257	Para depois não sermos acusados de estarmos a interromper uma votação já iniciada e uma vez que vai haver uma votação de um requerimento, que não tem discussão, solicitava a V. Ex.ª que fosse verificado o quórum.
259	P00012	P00001	257	Dá-me licença, Sr. Presidente?
260	P00001	P00012	259	Faça favor.
261	P00012	P00001	260	Sr. Presidente, solicitava que se aguardasse 2 minutos para se poderem chamar alguns Srs. Deputados. Pausa.
262	P00001	P00008	258	Tem a palavra o Sr. Deputado Jorge Lemos.
263	P00008	P00001	262	Sr. Presidente, foi requerida uma interrupção de 2 minutos para se poderem chamar alguns deputados e penso que os 2 minutos estão longamente excedidos. Assim, a minha bancada aguarda da Mesa alguma informação sobre o pedido que fizemos há pouco.
264	P00001	P00123	243	Tem a palavra o Sr. Deputado José Luís Nunes.
265	P00123	P00002		Nem toda a gente sabe tudo e acabo de ser informado que neste momento estão reunidas duas comissões eventuais de inquérito, uma sobre os actos do Sr. Secretário de Estado do Emprego e Formação Profissional e outra sobre a EPAC e eu mandei chamar alguns dos Srs. Deputados presentes nessas comissões eventuais.
266	P00001	P00002		Vamos ainda aguardar uns minutos. Pausa. Srs. Deputados, estamos quase chegados à hora regimental de dar por findos os trabalhos desta reunião...
267	P00294	P00001	266	Dá-me licença, Sr. Presidente?
268	P00001	P00294	267	Faça favor.
269	P00294	P00001	268	Sr. Presidente, o Sr. Deputado José Luís Nunes requereu a presença em Plenário de alguns deputados que estavam presentes nas comissões de inquérito; dado que esses deputados acabam de entrar na Sala, peço ao Sr. Presidente para avaliar se, com a sua entrada, já existe quórum.
270	P00001	P00002		Vamos verificar de novo o quórum. Srs. Deputados.
271	P00115	P00001	270	Dá-me licença, Sr. Presidente?
272	P00001	P00115	271	Faça favor.
273	P00115	P00001	272	Sr. Presidente, solicitava que após a verificação do quórum fosse referido quantos deputados estão presentes, por grupos e agrupamentos parlamentares. Pausa.
274	P00001	P00447		Srs. Deputados, dando satisfação ao que foi requerido pelo Sr. Deputado José Vitorino, informo que estão presentes 121 deputados, sendo 60 do PS, 42 do PSD, 6 do PCP, 8 do CDS, l do MDP/CDE, 3 da UEDS e o Sr. Deputado Independente António Gonzalez. O Sr. Secretário vai dar conta dos diplomas que hoje deram entrada na Mesa.
275	P00447	P00002		Deram entrada na Mesa os seguintes diplomas: um voto de saudação relativo ao Dia Internacional da Mulher, subscrito por deputados do PCP, do PS, do PSD e do CDS; uma proposta de resolução, apresentada pelo PS, no sentido de que a Assembleia da República recomende ao Governo que accione os mecanismos conducentes à aprovação, ratificação e implementação da Convenção para a Supressão do Tráfego de Pessoas e Exploração de Prostituição de Outrem e à Convenção Internacional para a Supressão da Circulação e de Tráfico de Publicações Obscenas; a proposta de resolução n.º 21/III, que aprova para ratificação o acordo técnico para a
276	P00001	P00002		Srs. Deputados, a reunião de amanhã terá início às 10 horas com a seguinte ordem de trabalhos: haverá período de antes da ordem do dia, alargado, com vinte minutos para cada partido e período da ordem do dia, de que conste a matéria que hoje não acabou de ser discutida e ainda, o projecto de lei n.º 85/III, do CDS, sobre o património cultural português (votação final global). Está encerrada a sessão.
